,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
459,Pasni,25.2631,63.471,79.16,58,0,7.92,clear sky,Kashmiri Hotal
460,Matara,5.9485,80.5353,76.48,92,100,10.18,light rain,Amaloh Boutique Resort
463,Alta Floresta,-9.8756,-56.0861,80.42,83,75,5.75,broken clouds,Floresta Amazonica Hotel
465,Ugoofaaru,5.6667,73.0,82.04,80,97,17.81,moderate rain,Ungoofaaru Inn
473,Ixtapa,20.7,-105.2,75.22,94,20,0.0,few clouds,Hotel Plaza Providencia
475,Ewo,-0.8725,14.8206,82.26,70,87,3.91,light rain,Residence Elonda Ewo
479,Ambon,-3.6954,128.1814,81.45,80,97,1.97,overcast clouds,Swiss-Belhotel Ambon
482,Praia,14.9215,-23.5087,82.94,61,75,23.02,broken clouds,LT Aparthotel
483,Salinopolis,-0.6136,-47.3561,84.34,69,100,4.85,overcast clouds,Salinas Park Resort Maçarico AP101
484,Puerto Carreno,6.189,-67.4859,86.41,60,77,7.47,broken clouds,Casa Hotel Victoria
487,Sambava,-14.2667,50.1667,78.94,79,5,13.15,clear sky,Melrose
491,Sibolga,1.7427,98.7792,75.36,95,100,4.25,overcast clouds,Hotel Syariah CN Darussalam
504,Port Blair,11.6667,92.75,81.64,82,100,8.37,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
505,Masallatah,32.6167,14.0,76.12,56,100,8.75,overcast clouds,Mustafa Taher Sowaidan
506,Olinda,-8.0089,-34.8553,85.73,66,40,10.36,scattered clouds,Hotel Albergue de Olinda
509,Banda Aceh,5.5577,95.3222,77.77,91,96,9.37,moderate rain,Sulthan Hotel International
510,Kirakira,-10.4544,161.9205,79.74,81,4,5.99,clear sky,SanBiz Lodge
518,Utinga,-5.8172,-35.3954,88.65,62,75,16.11,broken clouds,Espaço de Lazer Érica Fernandes
519,Delvada,20.7667,71.0333,81.27,51,96,6.29,overcast clouds,Hotel Shivam
524,Lazaro Cardenas,17.9583,-102.2,76.77,84,68,4.36,broken clouds,quinta antigua
525,Santa Fe,-31.6333,-60.7,75.74,60,0,3.0,clear sky,Conquistador Hotel
527,Riohacha,11.5444,-72.9072,84.09,72,80,11.16,broken clouds,Hotel Taroa
529,Vila Velha,-20.3297,-40.2925,78.75,77,75,3.0,broken clouds,Quality Suites Vila Velha
534,Taungdwingyi,20.0167,95.55,75.51,83,16,5.01,few clouds,NayNaing MobileService
536,Cam Ranh,11.9214,109.1591,76.96,94,75,4.61,broken clouds,OYO 598 Peony Hotel
539,Basco,20.4487,121.9702,82.13,79,27,11.79,scattered clouds,Nathaniel's Lodge
541,Batticaloa,7.7102,81.6924,79.29,83,100,11.86,light rain,Grand Star Guest House
543,Hue,16.4667,107.6,80.71,83,40,6.91,scattered clouds,Saigon Morin Hotel
548,Cardoso,-20.0819,-49.9142,90.12,39,81,5.75,broken clouds,EmilioTur Pescaria
555,Lamu,-2.2717,40.902,86.22,66,33,11.43,scattered clouds,Lamu House
558,Touros,-5.1989,-35.4608,88.7,60,53,15.66,broken clouds,INN NEW HORIZON
559,The Valley,18.217,-63.0578,85.1,65,20,10.36,few clouds,CeBlue Villas & Beach Resort
560,Salalah,17.0151,54.0924,84.29,58,0,8.05,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
562,Honavar,14.2833,74.45,77.79,85,99,2.44,overcast clouds,Hotel Sagar Residency
565,Alexandria,31.2156,29.9553,81.14,65,0,8.05,clear sky,Royal Crown Hotel
568,Mancio Lima,-7.6142,-72.8958,86.34,57,100,3.58,overcast clouds,Hotel e Distribuidora Voyage
574,Saint-Pierre,-21.3393,55.4781,82.04,70,20,18.41,light rain,Lindsey Hôtel
575,Lufilufi,-13.8745,-171.5986,76.78,80,97,11.45,light rain,Leuaina Beach Resort and Spa
576,Micheweni,-4.9667,39.8333,82.24,64,49,10.8,scattered clouds,
577,Kuruman,-27.4524,23.4325,93.99,12,93,24.2,overcast clouds,Cornerstone Guest House
578,Ratnagiri,16.9833,73.3,79.61,79,95,0.72,overcast clouds,Hotel Landmark
580,Mackay,-21.15,149.2,78.78,73,75,9.22,broken clouds,International Lodge Motel
584,Bridgetown,13.1,-59.6167,86.49,66,40,20.71,scattered clouds,Hilton Barbados Resort
585,Lagos,6.5833,3.75,84.52,61,100,7.87,light rain,
586,Pundaguitan,6.3711,126.1689,84.09,75,25,13.85,scattered clouds,Leonardo Family Beach House 1
587,Waddan,29.1614,16.139,87.03,16,6,3.76,clear sky,محل الشريف محمد العايب
588,Marsabit,2.3284,37.9899,80.02,37,73,14.58,broken clouds,Chicho Hotel
597,Hargeysa,9.56,44.065,78.37,24,35,15.57,scattered clouds,City Center Hotel
601,Anjad,22.0333,75.05,76.75,30,100,7.99,overcast clouds,Hotel Shanti & Restaurant
603,Katherine,-14.4667,132.2667,84.52,65,68,5.75,broken clouds,Pine Tree Motel
609,Khorixas,-20.3667,14.9667,90.68,12,100,15.99,overcast clouds,Khorixas Lodge
610,Bata,1.8639,9.7658,80.46,81,100,3.38,overcast clouds,Hotel Elik Melen
611,Axim,4.8699,-2.2405,82.81,75,74,10.09,light rain,Axim Beach Resort And Spa
616,Limon,10.0,-83.0333,78.69,83,0,9.22,clear sky,Hotel Playa Bonita
618,Tshikapa,-6.4167,20.8,79.95,74,91,2.95,light rain,Hôtel Tshia-Muntu de Tshikapa
621,Antalaha,-14.9003,50.2788,78.93,76,0,12.48,clear sky,Hotel Vitasoa
625,Pitimbu,-7.4706,-34.8086,88.39,65,13,11.68,few clouds,Reserva do Abiaí
627,Caravelas,-17.7125,-39.2481,81.75,58,69,8.43,broken clouds,Pousada dos Navegantes
629,Bontang,0.1333,117.5,82.65,79,87,8.52,overcast clouds,KOPKAR Hotel Bintang Sintuk
632,Kailua,21.4022,-157.7394,78.78,79,90,8.05,overcast clouds,Sheffield House Bed & Breakfast
641,Hobyo,5.3505,48.5268,81.41,65,92,12.8,overcast clouds,Halane Hotel and Restaurent
642,Thai Binh,20.45,106.3333,78.8,80,32,5.1,scattered clouds,Sweden Hotel
643,Cassilandia,-19.1133,-51.7342,84.38,53,93,4.32,overcast clouds,Delirius Motel
